Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
Male,41,2,19521,4,0,1,124531,0
Female,26,6,69690,4,1,1,197599,0
Male,52,16,35546,4,1,0,89068,0
Male,68,18,157044,4,1,0,12283,1
Male,37,17,104713,1,1,1,178824,1
Female,54,0,195457,2,0,1,74446,0
Male,59,4,102617,1,0,1,198853,1
Male,34,1,22030,3,1,0,107259,1
Male,64,0,171448,4,1,0,49605,0
Female,48,6,89831,4,0,0,56500,1
Male,25,10,77400,2,0,0,149787,0
Male,32,10,18055,4,0,0,111881,0
Male,48,17,156565,2,1,1,90275,0
Male,47,16,74861,3,0,0,163942,1
Female,63,1,121184,4,0,0,173413,1
Male,37,6,116524,4,0,1,170543,1
Female,56,6,116826,1,1,0,152662,1
Female,29,9,36775,2,0,1,28645,0
Female,66,2,182129,2,0,1,142095,0
Male,34,11,85909,4,0,0,34897,1
Female,59,2,36253,1,1,0,25437,1
Male,47,10,51884,4,1,0,53791,0
Female,46,11,76497,2,0,0,172647,1
Female,36,3,17705,2,1,1,58198,1
Female,63,15,175748,4,1,1,115539,1
Female,28,19,91640,3,0,0,71619,0
Female,51,17,7101,4,1,1,151691,0
Female,67,3,62495,1,0,1,30141,1
Female,24,5,135815,2,1,1,138680,1
Female,61,14,8951,2,1,0,76820,0
Male,51,0,138086,4,0,1,38094,1
Male,37,2,36180,3,0,1,155538,0
Female,67,4,56977,2,0,1,179193,0
Female,55,16,190606,4,1,0,52137,0
Female,41,13,63209,3,1,1,116825,0
Male,27,8,172980,4,1,1,118385,1
Female,49,2,108575,4,1,1,26365,0
Male,69,12,50918,4,0,1,97930,0
Male,32,2,139291,2,0,1,25971,1
Male,54,10,138235,3,0,1,139076,1
Male,37,1,133542,1,0,1,118363,0
Male,20,14,147615,1,0,0,184547,1
Female,54,12,150348,2,1,0,41359,1
Female,57,18,120014,2,1,0,43180,1
Female,25,15,167953,4,0,0,171284,1
Female,57,17,78950,4,1,0,61567,0
Female,61,6,7749,3,1,0,172428,0
Male,40,12,24182,4,1,1,163027,1
Female,57,3,77450,3,0,0,36140,1
Female,28,8,80543,4,1,0,198896,0
Male,63,9,96487,4,0,0,49325,0
Female,25,8,110227,1,1,0,86003,1
Male,46,6,152455,2,1,1,196504,0
Female,47,14,78578,3,0,1,90662,0
Male,27,7,116258,1,0,1,78418,0
Female,56,18,156484,4,0,1,185775,0
Female,45,10,13181,1,0,0,153877,0
Male,66,4,44898,3,1,1,14400,0
Male,53,1,190702,2,0,0,51614,0
Male,30,9,3405,1,0,1,92100,1
Male,49,15,10862,3,1,0,161581,1
Male,53,12,185751,4,1,0,76300,1
Male,54,7,28688,1,1,1,161591,1
Male,43,8,48017,2,0,1,86094,0
Male,39,10,12939,3,0,1,157247,0
Female,21,10,104152,2,1,1,70642,0
Female,48,15,39585,4,1,1,137867,0
Male,35,9,116315,2,1,1,168019,0
Female,55,11,104447,4,0,1,155286,0
Female,41,5,154014,4,1,0,138042,1
Female,40,11,136344,1,0,1,82335,0
Female,39,9,175206,4,0,0,151046,1
Male,19,17,155337,2,1,0,170428,1
Female,48,17,179264,1,0,1,191288,0
Male,28,3,159740,4,0,0,159912,1
Female,45,8,81560,3,0,1,113985,0
Female,63,6,97435,3,0,0,60498,0
Female,49,17,69283,4,0,1,69571,1
Male,22,7,9297,1,0,1,16997,0
Female,55,10,64005,1,1,1,46900,0
Male,27,6,128833,1,0,1,12453,1
Female,57,8,189506,2,1,1,10538,1
Male,63,7,195821,3,0,0,86151,0
Female,41,2,132679,4,1,1,40593,1
Male,52,16,130654,4,1,1,143375,1
Male,61,1,190255,3,1,0,196645,1
Female,65,14,86994,2,0,1,68384,0
Male,40,13,56305,1,0,0,60543,1
Female,34,17,159045,3,0,1,94092,0
Female,18,15,154189,4,0,0,176099,1
Female,48,19,122688,2,0,1,172540,1
Female,48,3,7645,4,0,1,195758,0
Female,59,19,42238,1,1,0,84227,1
Female,59,5,69694,3,0,0,73175,0
Female,51,5,172845,1,0,0,99268,0
Female,26,10,16786,2,0,0,33940,1
Female,39,16,40693,3,1,0,46481,0
Female,30,2,96447,1,1,1,79240,1
Female,42,12,157650,1,1,1,43978,0
Male,65,2,177480,1,1,0,155283,1
Male,35,15,69702,2,0,0,58866,1
Female,68,14,84845,1,0,0,46513,1
Female,29,10,15076,4,1,1,85714,1
Female,57,17,19377,3,1,1,156888,1
Female,34,14,140350,3,0,0,42441,0
Female,32,4,195880,1,1,1,156692,1
Female,59,15,127368,2,1,0,32844,0
Female,32,15,33539,4,1,1,62200,0
Female,32,16,126552,4,1,0,129607,0
Male,56,8,142512,3,0,0,172661,1
Female,30,2,26245,3,1,1,55986,0
Male,34,19,153169,4,0,1,193158,0
Female,49,12,67092,3,1,0,81646,0
Female,26,2,109454,1,1,0,104476,1
Male,57,6,132223,4,0,1,44585,1
Female,37,5,152770,3,0,0,82149,1
Male,43,8,148673,1,1,0,47087,1
Female,44,11,157879,1,1,0,148303,0
Female,38,14,176374,4,1,0,152286,0
Male,35,19,139111,1,0,0,78413,0
Female,30,2,47427,4,1,0,107743,0
Male,33,9,71839,1,1,1,142219,0
Female,26,0,189121,4,0,1,59389,0
Male,29,18,150125,4,1,0,126810,1
Male,61,18,116801,4,1,0,148681,1
Female,55,12,110845,4,1,1,129283,0
Female,36,11,86298,1,0,0,19737,0
Male,24,0,89147,4,1,1,46751,0
Female,52,18,55413,3,1,1,120859,0
Female,65,15,65958,1,1,0,50902,0
Female,35,14,31275,4,1,0,15606,0
Male,33,15,26597,1,0,0,199402,1
Male,56,10,77521,1,1,1,60775,0
Male,21,5,94243,1,1,1,136001,0
Male,42,10,68908,1,1,0,185758,0
Male,49,2,55188,4,1,0,131914,0
Male,57,14,34710,1,0,0,189653,0
Male,30,0,118493,3,1,1,120397,0
Male,62,6,180122,1,1,0,190946,1
Male,34,0,49249,1,0,1,142167,0
Female,66,16,34247,3,1,0,75262,0
Male,54,8,26408,4,0,0,92915,0
Female,23,12,76313,3,1,1,32065,0
Female,36,10,5443,2,0,1,58844,1
Female,30,19,130270,3,0,1,178501,0
Male,43,5,131151,4,1,1,94703,0
Male,31,0,96818,3,0,1,133035,0
Male,48,6,169417,1,0,1,151159,0
Male,21,11,143973,4,1,0,15682,1
Female,56,19,198831,2,1,1,134656,0
Male,25,18,173804,4,1,0,48729,1
Male,42,16,148579,1,1,0,96688,0
Male,30,3,81785,2,1,0,130448,1
Male,49,2,126691,4,1,1,113508,1
Male,55,0,35391,4,1,1,83088,0
Female,55,17,34171,1,1,0,135300,0
Male,45,14,182802,3,1,0,67398,1
Female,47,7,115019,3,0,0,26468,1
Male,20,0,7485,2,0,1,82620,0
Female,45,19,127628,1,0,0,53848,1
Male,20,13,110104,1,0,1,160235,1
Male,62,3,115427,3,0,0,81591,0
Female,51,4,90153,3,0,1,78205,0
Female,33,12,37748,2,0,1,87564,0
